tagName,tagType,tagDescription
저지방,PURPOSE,지방 함량을 낮춘 식단. 비만·췌장염 반려동물에게 적합
고단백,PURPOSE,단백질 함량을 높인 식단. 근육 발달 및 체력 증진에 도움
다이어트,PURPOSE,칼로리를 낮춘 체중 감량용 식단
면역력 강화,PURPOSE,항산화 성분·비타민 풍부한 식단으로 면역력 증진
알러지프리,PURPOSE,주요 알러지 유발 식재료를 제외한 식단
관절 건강,PURPOSE,오메가3·글루코사민 함유 식단으로 관절 건강 지원
피부 모질 개선,PURPOSE,오메가3·비타민E 풍부한 식단으로 피부와 털 개선
신장 건강,DISEASE,저단백·저인·저나트륨 식단. 신장 질환 반려동물 전용
당뇨 관리,DISEASE,저탄수화물·고단백 식단으로 혈당 조절
비만 관리,DISEASE,고섬유질·저칼로리 식단으로 체중 감량
췌장염 관리,DISEASE,극저지방 식단. 췌장 부담 최소화
닭고기,INGREDIENT,닭가슴살·닭안심 등 닭고기 기반 레시피
소고기,INGREDIENT,소고기 기반 레시피
연어,INGREDIENT,연어 기반 레시피. 오메가3 풍부
채소 위주,STYLE,채소를 주재료로 한 식물성 중심 식단
수제 간식,STYLE,집에서 만드는 건강한 수제 간식 레시피
생식,STYLE,열처리 없이 신선한 재료를 그대로 사용하는 식단
