diseaseName,diseaseDescription
신장 질환,신장 기능 저하로 단백질·인·나트륨 섭취 엄격 제한 필요. 저단백·저인 식단 권장
비만,체중 과다로 저칼로리·고섬유질 식단 권장. 지방과 탄수화물 섭취 조절 필수
당뇨,혈당 조절을 위해 저탄수화물·고단백 식단 필요. 단순당 함유 식품 엄격 제한
관절염,관절 염증 완화를 위해 오메가3 지방산·글루코사민 풍부 식품 권장. 체중 관리 병행 필요
피부 질환,피부 트러블 개선을 위해 오메가3·비타민E·아연 풍부 식품 권장. 알러지 유발 식재료 배제
심장 질환,심장 기능 보호를 위해 나트륨 제한 및 타우린·L-카르니틴 보충 필요
췌장염,지방 소화 장애로 저지방 식단 엄격히 필요. 고지방 식품·간식 완전 배제
간 질환,간 기능 저하로 단백질·지방 섭취량 조절 필요. 항산화 성분 풍부 식품 권장
구강 질환,치석·잇몸 문제 예방을 위해 수분 함량 낮은 단단한 식감의 식품 권장
갑상선 질환,갑상선 기능 이상으로 요오드 함유 식품 및 고이트로젠 성분 조절 필요
염증성 장질환(IBD),장 점막 만성 염증으로 소화하기 쉬운 저지방·단일 단백질 식단 권장. 식이섬유 조절 필요
요로결석,결석 유형에 따라 인·마그네슘·수산 섭취 조절. 수분 섭취 충분히 늘려야 함
식이 과민반응,특정 식재료에 대한 만성 소화기 반응. 단일 단백질·단일 탄수화물 제한 식단(elimination diet) 필요
빈혈,철분·비타민B12·엽산 풍부 식품 권장. 조혈 기능 지원을 위한 균형 잡힌 식단 필요
고혈압,나트륨 섭취 엄격 제한 필요. 칼륨·마그네슘 풍부 채소 적절히 섭취 권장
저혈당증,혈당이 급격히 떨어지는 상태로 소량씩 자주 급여 필요. 단순당 보충 식품 준비 권장
암(종양),항산화 성분·오메가3·고품질 단백질 풍부 식단 권장. 설탕·단순 탄수화물 최소화
노령 관리,소화 기능 저하로 고소화율 단백질·관절 보호 성분 권장. 소량씩 자주 급여
